[일시]제이씨현시스템,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,8830,8840,8460,8460,▼470,－5.26%,7433,8439,1014959
2020/12/23,8600,9100,8320,8930,▲450,＋5.31%,7412,8443,2716553
2020/12/22,8520,8890,8360,8480,▲60,＋0.71%,7387,8401,1752583
2020/12/21,8380,8520,8210,8420,▲130,＋1.57%,7368,8411,380808
2020/12/18,8410,8490,8260,8290,▼30,－0.36%,7344,8393,258012
2020/12/17,8460,8580,8300,8320,▲20,＋0.24%,7325,8401,482010
2020/12/16,8260,8470,8200,8300,▲50,＋0.61%,7305,8413,387649
2020/12/15,8390,8460,8220,8250,▼140,－1.67%,7286,8443,291037
2020/12/14,8550,8620,8380,8390,▼160,－1.87%,7268,8479,364076
2020/12/11,8570,8640,8470,8550,▲50,＋0.59%,7246,8501,529934
2020/12/10,8450,8660,8360,8500,▼10,－0.12%,7224,8509,463275
2020/12/09,8700,8780,8350,8510,▼70,－0.82%,7200,8523,549908
2020/12/08,8250,8690,8250,8580,▲340,＋4.13%,7174,8545,1089634
2020/12/07,8230,8400,8230,8240,▼130,－1.55%,7147,8615,304916
2020/12/04,8470,8590,8210,8370,▼70,－0.83%,7122,8690,587998
2020/12/03,8650,8690,8350,8440,▼160,－1.86%,7099,8728,516270
2020/12/02,8650,8730,8590,8600,▼10,－0.12%,7079,8748,349380
2020/12/01,8730,8760,8590,8610,0.0,0.00%,7058,8773,331637
2020/11/30,8710,8810,8610,8610,▼20,－0.23%,7037,8762,480584
2020/11/27,8640,8780,8600,8630,▼10,－0.12%,7015,8742,384321
2020/11/26,8730,8890,8620,8640,▼90,－1.03%,6992,8717,583055
2020/11/25,9340,9340,8620,8730,▼550,－5.93%,6971,8719,1782382
2020/11/24,8950,9610,8840,9280,▲290,＋3.23%,6938,8697,5071530
2020/11/23,8780,9060,8720,8990,▲240,＋2.74%,6902,8651,1702225
2020/11/20,8640,9100,8630,8750,▲110,＋1.27%,6866,8607,2063779
2020/11/19,8920,8940,8510,8640,▼210,－2.37%,6830,8535,877155
2020/11/18,8640,8950,8550,8850,▲350,＋4.12%,6795,8471,1617682
2020/11/17,8490,8820,8430,8500,▲90,＋1.07%,6759,8369,747617
2020/11/16,8380,8550,8370,8410,▲30,＋0.36%,6726,8301,481708
2020/11/13,8530,8600,8340,8380,▼280,－3.23%,6695,8257,760829
2020/11/12,8650,9380,8630,8660,▲150,＋1.76%,6663,8186,5175616
2020/11/11,8810,8860,8460,8510,▼310,－3.51%,6630,8068,1036867
2020/11/10,8510,8870,8250,8820,▲270,＋3.16%,6596,7972,2113461
2020/11/09,8310,8600,8170,8550,▲520,＋6.48%,6558,7821,1752486
2020/11/06,8150,8480,8010,8030,▲30,＋0.38%,6522,7707,2121815
2020/11/05,7880,8110,7850,8000,▲170,＋2.17%,6491,7700,770069
2020/11/04,7950,8280,7750,7830,▲10,＋0.13%,6459,7725,1200756
2020/11/03,8100,8100,7770,7820,▼150,－1.88%,6428,7723,590952
2020/11/02,7780,8030,7750,7970,▲300,＋3.91%,6399,7727,752658
2020/10/30,7550,7970,7550,7670,▲190,＋2.54%,6369,7744,1298186
2020/10/29,7400,7520,7280,7480,▼70,－0.93%,6341,7804,449358
2020/10/28,7390,7660,7360,7550,▲240,＋3.28%,6315,7916,660435
2020/10/27,7280,7780,7180,7310,▼100,－1.35%,6289,8106,1482679
2020/10/26,8080,8160,7280,7410,▼550,－6.91%,6262,8275,915048
2020/10/23,8330,8370,7910,7960,▼290,－3.52%,6234,8431,1104786
2020/10/22,7900,8840,7850,8250,▲440,＋5.63%,6201,8517,5853728
2020/10/21,7890,8080,7800,7810,▼50,－0.64%,6166,8622,738687
2020/10/20,8080,8290,7580,7860,▼280,－3.44%,6133,8718,982858
2020/10/19,8270,8500,8100,8140,▼130,－1.57%,6101,8913,694274
2020/10/16,8710,9030,8100,8270,▼330,－3.84%,6064,8879,1904323
2020/10/15,9400,9450,8430,8600,▼850,－8.99%,6027,8838,2208197
2020/10/14,9170,9940,9110,9450,▲450,＋5.00%,5986,8715,9867811
2020/10/13,8970,10100,8910,9000,▲30,＋0.33%,5938,8573,13246630
2020/10/12,8720,8970,8470,8970,▲150,＋1.70%,5893,8423,1672797
2020/10/08,9210,9220,8810,8820,▼480,－5.16%,5847,8236,1750694
2020/10/07,8720,9340,8690,9300,▲530,＋6.04%,5802,8074,6106378
2020/10/06,10000,10100,8650,8770,▼1040,－10.60%,5754,7852,6210471
2020/10/05,7700,9810,7700,9810,▲2010,＋25.77%,5712,7680,11804450
2020/09/29,7910,8370,7800,7800,▼60,－0.76%,5660,7412,4117331
2020/09/28,7420,8030,7380,7860,▲490,＋6.65%,5625,7351,4519516
2020/09/25,8420,9380,7150,7370,▼660,－8.22%,5588,7288,18957561
2020/09/24,7390,8040,7320,8030,▲530,＋7.07%,5554,7291,7433238
2020/09/23,7250,7950,7240,7500,▲400,＋5.63%,5515,7295,6174713
2020/09/22,7200,8500,6750,7100,▼100,－1.39%,5478,7249,17162613
2020/09/21,7190,8650,7090,7200,▲120,＋1.69%,5445,7244,25383092
2020/09/18,7060,7150,6910,7080,▲30,＋0.43%,5406,7234,525942
2020/09/17,7100,7190,7050,7050,▼80,－1.12%,5368,7254,440175
2020/09/16,7190,7310,7070,7130,▼60,－0.83%,5330,7282,886945
2020/09/15,7260,7410,7180,7190,▼40,－0.55%,5290,7310,1104815
2020/09/14,7410,7630,7130,7230,▼170,－2.30%,5248,7326,2240132
2020/09/11,7680,7740,7270,7400,▼670,－8.30%,5204,7253,2782804
2020/09/10,7120,8740,7120,8070,▲1030,＋14.63%,5160,7180,16460035
2020/09/09,6950,7330,6920,7040,▼10,－0.14%,5110,7103,1272722
2020/09/08,7120,7300,7000,7050,▼50,－0.70%,5072,6977,953328
2020/09/07,7220,7260,7010,7100,▼180,－2.47%,5037,6849,774484
2020/09/04,6970,7280,6930,7280,▼50,－0.68%,5002,6707,1119232
2020/09/03,7490,7640,7130,7330,▼80,－1.08%,4966,6513,1999374
2020/09/02,7520,7940,7310,7410,▲60,＋0.82%,4934,6305,6310325
2020/09/01,6500,8070,6500,7350,▲850,＋13.08%,4904,6122,30544012
2020/08/31,6710,6920,6480,6500,▼170,－2.55%,4876,5942,2507665
2020/08/28,6870,7140,6430,6670,▼630,－8.63%,4855,5884,8710878
2020/08/27,5770,7510,5770,7300,▲1520,＋26.30%,4836,5830,24733626
2020/08/26,5770,6120,5680,5780,▲10,＋0.17%,4812,5691,1195478
2020/08/25,5680,5820,5680,5770,▲90,＋1.58%,4801,5719,271628
2020/08/24,5450,6070,5450,5680,▲340,＋6.37%,4788,5746,2069648
2020/08/21,5280,5400,5150,5340,▲90,＋1.71%,4777,5783,169464
2020/08/20,5620,5690,5140,5250,▼330,－5.91%,4766,5849,369652
2020/08/19,5520,5700,5520,5580,▲30,＋0.54%,4761,5930,194754
2020/08/18,5860,6150,5380,5550,▼370,－6.25%,4756,5978,705750
2020/08/14,6160,6180,5910,5920,▼210,－3.43%,4751,6033,487221
2020/08/13,5980,6220,5950,6130,▲220,＋3.72%,4743,6039,728240
2020/08/12,6070,6070,5820,5910,▼150,－2.48%,4734,6024,376701
2020/08/11,6120,6130,6030,6060,▲20,＋0.33%,4727,6040,278854
2020/08/10,6100,6170,6000,6040,▼10,－0.17%,4720,6039,281568
2020/08/07,6020,6170,6010,6050,▲50,＋0.83%,4713,6021,380713
2020/08/06,6100,6130,6000,6000,▼60,－0.99%,4706,5991,282414
2020/08/05,6080,6180,6000,6060,0.0,0.00%,4699,5971,510595
2020/08/04,6180,6180,6060,6060,▼40,－0.66%,4692,5967,439973
2020/08/03,6070,6230,6030,6100,▲120,＋2.01%,4684,5976,444054
2020/07/31,6030,6140,5980,5980,0.0,0.00%,4675,5981,420677
2020/07/30,6090,6130,5960,5980,▼90,－1.48%,4668,5995,348838
2020/07/29,6060,6110,5900,6070,▲20,＋0.33%,4660,6007,607000
2020/07/28,5990,6570,5950,6050,▲190,＋3.24%,4651,6020,5430463
2020/07/27,5770,5920,5750,5860,▲110,＋1.91%,4642,6047,247307
2020/07/24,5700,5890,5700,5750,▼50,－0.86%,4633,6121,239242
2020/07/23,5980,6010,5750,5800,▼220,－3.65%,4624,6164,550319
2020/07/22,6140,6140,5990,6020,▼130,－2.11%,4615,6209,359157
2020/07/21,6240,6240,6060,6150,0.0,0.00%,4604,6219,314741
2020/07/20,6140,6220,6020,6150,▲30,＋0.49%,4594,6222,330888
2020/07/17,6150,6190,6080,6120,▲20,＋0.33%,4584,6244,256291
2020/07/16,6200,6240,6000,6100,▼100,－1.61%,4575,6244,550788
2020/07/15,6430,6470,6170,6200,▼120,－1.90%,4566,6228,745712
2020/07/14,6480,6480,6260,6320,▼280,－4.24%,4556,6203,1367139
2020/07/13,6270,6600,6210,6600,▲420,＋6.80%,4546,6186,1794250
2020/07/10,6330,6450,6130,6180,▼70,－1.12%,4534,6088,1141262
2020/07/09,6180,6310,6110,6250,▲130,＋2.12%,4525,6070,767891
2020/07/08,6210,6240,6070,6120,▼60,－0.97%,4516,6034,480122
2020/07/07,6370,6380,6150,6180,▼190,－2.98%,4509,6028,1087526
2020/07/06,6160,6390,6070,6370,▲250,＋4.08%,4501,6014,1799369
2020/07/03,5920,6390,5910,6120,▲180,＋3.03%,4491,5957,3577881
2020/07/02,5980,6080,5870,5940,▼10,－0.17%,4485,5927,421717
2020/07/01,6150,6150,5870,5950,▼200,－3.25%,4485,5904,857600
2020/06/30,5710,6150,5620,6150,▲530,＋9.43%,4480,5837,1903476
2020/06/29,5880,5990,5520,5620,▼380,－6.33%,4470,5764,695407
2020/06/26,6020,6140,5940,6000,▲110,＋1.87%,4465,5718,1109530
2020/06/25,5990,6250,5840,5890,▼170,－2.81%,4457,5688,1167048
2020/06/24,6000,6270,5950,6060,▲20,＋0.33%,4450,5699,1508240
2020/06/23,5890,6470,5850,6040,▲240,＋4.14%,4441,5700,3566365
2020/06/22,5820,5960,5690,5800,▼20,－0.34%,4431,5702,605638
2020/06/19,5710,6190,5700,5820,▲110,＋1.93%,4423,5720,3436721
2020/06/18,5300,6020,5200,5710,▲430,＋8.14%,4415,5723,3948825
2020/06/17,5370,5520,5180,5280,▼140,－2.58%,4407,5769,802857
2020/06/16,5250,5470,5250,5420,▲260,＋5.04%,4403,5716,727786
2020/06/15,5550,5770,5110,5160,▼540,－9.47%,4398,5668,1092826
2020/06/12,5630,5770,5510,5700,▼300,－5.00%,4395,5626,1019224
2020/06/11,6070,6270,5770,6000,▼70,－1.15%,4388,5497,1651996
2020/06/10,6060,6520,5930,6070,▲10,＋0.17%,4379,5342,4300724
2020/06/09,6380,7120,5990,6060,▲80,＋1.34%,4369,5187,27393707
2020/06/08,5930,6110,5800,5980,▲130,＋2.22%,4359,5040,6282502
2020/06/05,6360,6490,5770,5850,▼320,－5.19%,4348,4902,9864170
2020/06/04,5040,6170,4980,6170,▲1420,＋29.89%,4338,4773,24498947
2020/06/03,4960,5280,4740,4750,▼185,－3.75%,4325,4625,1938413
2020/06/02,4700,4950,4655,4935,▲190,＋4.00%,4324,4599,2283820
2020/06/01,4500,4745,4425,4745,▲340,＋7.72%,4321,4530,1485961
2020/05/29,4450,4500,4350,4405,▼45,－1.01%,4322,4481,162816
2020/05/28,4525,4590,4290,4450,▼70,－1.55%,4324,4470,376499
2020/05/27,4615,4615,4500,4520,▼70,－1.53%,4326,4436,233083
2020/05/26,4650,4650,4555,4590,▼15,－0.33%,4328,4402,207447
2020/05/25,4565,4640,4530,4605,▲45,＋0.99%,4330,4368,228186
2020/05/22,4680,4705,4480,4560,▼125,－2.67%,4332,4346,450723
2020/05/21,4490,4695,4420,4685,▲190,＋4.23%,4334,4327,946441
2020/05/20,4290,4890,4270,4495,▲250,＋5.89%,4333,4296,3940199
2020/05/19,4305,4320,4215,4245,▼5,－0.12%,4334,4289,276540
2020/05/18,4360,4395,4050,4250,▼50,－1.16%,4339,4270,538897
2020/05/15,4180,4460,4020,4300,▲190,＋4.62%,4345,4243,1352903
2020/05/14,4175,4215,4090,4110,▼70,－1.67%,4350,4215,133500
2020/05/13,4210,4235,4090,4180,▼70,－1.65%,4358,4210,246965
2020/05/12,4400,4425,4190,4250,▼130,－2.97%,4365,4179,333433
2020/05/11,4375,4420,4330,4380,▲5,＋0.11%,4371,4154,241480
2020/05/08,4395,4435,4360,4375,▲5,＋0.11%,4375,4091,282218
2020/05/07,4430,4460,4340,4370,▼60,－1.35%,4380,4030,573432
2020/05/06,4090,4780,4050,4430,▲380,＋9.38%,4384,3967,4047339
2020/05/04,4030,4180,3980,4050,▲70,＋1.76%,4387,3894,362919
2020/04/29,4065,4100,3975,3980,▼45,－1.12%,4395,3842,268616
2020/04/28,4100,4150,3960,4025,▼30,－0.74%,4402,3793,382870
2020/04/27,3965,4085,3895,4055,▲185,＋4.78%,4409,3735,441989
2020/04/24,4015,4020,3820,3870,▼130,－3.25%,4416,3683,379846
2020/04/23,3800,4000,3765,4000,▲250,＋6.67%,4423,3664,462558
2020/04/22,3700,3750,3630,3750,▼15,－0.40%,4428,3625,178596
2020/04/21,3785,3950,3540,3765,▲20,＋0.53%,4437,3606,759705
2020/04/20,3740,3855,3710,3745,▲45,＋1.22%,4445,3569,384926
2020/04/17,3590,3700,3565,3700,▲170,＋4.82%,4453,3525,294974
2020/04/16,3485,3560,3400,3530,▲45,＋1.29%,4461,3491,135610
2020/04/14,3485,3575,3475,3485,▲40,＋1.16%,4471,3448,182909
2020/04/13,3600,3640,3445,3445,▼95,－2.68%,4481,3406,222089
2020/04/10,3740,3745,3485,3540,▼140,－3.80%,4494,3323,288452
2020/04/09,3700,3765,3650,3680,▲75,＋2.08%,4505,3218,378540
2020/04/08,3600,4040,3415,3605,▲45,＋1.26%,4513,3101,1749487
2020/04/07,3495,3615,3380,3560,▲160,＋4.71%,4522,2973,639820
2020/04/06,3350,3495,3280,3400,▲100,＋3.03%,4530,2831,420866
2020/04/03,3445,3695,3245,3300,▼60,－1.79%,4538,2686,755572
2020/04/02,3150,3415,2965,3360,▲255,＋8.21%,4546,2571,647458
2020/04/01,3230,3525,3070,3105,▲40,＋1.31%,4554,2437,1160257
2020/03/31,2705,3125,2665,3065,▲450,＋17.21%,4563,2378,1226098
2020/03/30,2375,2625,2360,2615,▲125,＋5.02%,4574,2356,430396
2020/03/27,2625,2650,2280,2490,▼20,－0.80%,4589,2381,593377
2020/03/26,2370,2790,2250,2510,▲190,＋8.19%,4605,2433,723444
2020/03/25,2280,2335,2180,2320,▲180,＋8.41%,4621,2527,549910
2020/03/24,2100,2140,2015,2140,▲190,＋9.74%,4639,2675,281967
2020/03/23,1995,2045,1850,1950,▼205,－9.51%,4659,2860,273735
2020/03/20,2020,2180,1990,2155,▲135,＋6.68%,4681,3069,576550
2020/03/19,2570,2655,1930,2020,▼490,－19.52%,4703,3288,637841
2020/03/18,2850,2930,2510,2510,▼340,－11.93%,4727,3529,226716
2020/03/17,2495,2930,2495,2850,▼10,－0.35%,4748,3719,299511
2020/03/16,3020,3175,2835,2860,▼155,－5.14%,4764,3860,341510
2020/03/13,3100,3265,2600,3015,▼435,－12.61%,4782,4003,705031
2020/03/12,3720,3785,3370,3450,▼345,－9.09%,4799,4114,332691
2020/03/11,4035,4085,3785,3795,▼195,－4.89%,4809,4231,209518
2020/03/10,3970,4020,3800,3990,▼55,－1.36%,4816,4352,136651
2020/03/09,4250,4285,4030,4045,▼295,－6.80%,4821,4445,174527
2020/03/06,4335,4420,4280,4340,▼95,－2.14%,4824,4530,112250
2020/03/05,4485,4510,4405,4435,▲30,＋0.68%,4825,4600,97001
2020/03/04,4195,4405,4175,4405,▲145,＋3.40%,4826,4673,100547
2020/03/03,4350,4450,4240,4260,▼35,－0.81%,4828,4751,171203
2020/03/02,4100,4365,4030,4295,▲170,＋4.12%,4831,4842,220596
2020/02/28,4580,4580,4125,4125,▼490,－10.62%,4833,4939,415004
2020/02/27,5000,5000,4585,4615,▼395,－7.88%,4836,5040,346666
2020/02/26,4765,5050,4765,5010,▲90,＋1.83%,4834,5095,212693
2020/02/25,4800,4955,4770,4920,▲25,＋0.51%,4829,5108,148614
2020/02/24,4850,4940,4800,4895,▼145,－2.88%,4825,5125,156228
2020/02/21,5090,5220,5030,5040,▼120,－2.33%,4820,5139,155200
2020/02/20,5190,5200,5100,5160,▼30,－0.58%,4814,5138,138038
2020/02/19,5190,5210,5050,5190,▲20,＋0.39%,4808,5124,205790
2020/02/18,5260,5260,5120,5170,▼90,－1.71%,4803,5098,190577
2020/02/17,5150,5290,5130,5260,▲120,＋2.33%,4798,5065,261240
2020/02/14,5190,5190,5090,5140,▼20,－0.39%,4793,5004,149016
2020/02/13,5150,5210,5020,5160,▲20,＋0.39%,4790,4961,228849
2020/02/12,5090,5170,5050,5140,▲50,＋0.98%,4785,4920,125430
2020/02/11,5030,5180,5030,5090,▲50,＋0.99%,4782,4901,311673
2020/02/10,5080,5090,4970,5040,▲10,＋0.20%,4779,4879,125178
2020/02/07,5020,5090,4950,5030,▲10,＋0.20%,4771,4880,156241
2020/02/06,4985,5030,4935,5020,▲90,＋1.83%,4762,4882,207820
2020/02/05,4845,5010,4845,4930,▲90,＋1.86%,4754,4883,291637
2020/02/04,4730,4865,4730,4840,▲190,＋4.09%,4745,4894,193148
2020/02/03,4590,4695,4495,4650,▼60,－1.27%,4735,4928,207941
2020/01/31,4755,4870,4710,4710,▼40,－0.84%,4727,4981,236237
2020/01/30,4915,4965,4695,4750,▼200,－4.04%,4722,5025,243151
2020/01/29,4900,4970,4850,4950,▲80,＋1.64%,4717,5070,100636
2020/01/28,4905,4990,4740,4870,▼180,－3.56%,4711,5106,221301
2020/01/23,5050,5080,4990,5050,0.0,0.00%,4705,5136,156870
2020/01/22,4990,5080,4990,5050,▲20,＋0.40%,4696,5172,127672
2020/01/21,5080,5090,4980,5030,▼10,－0.20%,4691,5256,204136
2020/01/20,5200,5210,4990,5040,▼140,－2.70%,4686,5288,294974
2020/01/17,5230,5230,5120,5180,0.0,0.00%,4682,5277,167411
2020/01/16,5160,5230,5120,5180,▲30,＋0.58%,4678,5266,212866
2020/01/15,5270,5320,5150,5150,▼50,－0.96%,4674,5256,325540
2020/01/14,5360,5370,5120,5200,▼110,－2.07%,4670,5237,463901
2020/01/13,5170,5390,5170,5310,▲140,＋2.71%,4666,5215,993665
2020/01/10,5400,5450,5170,5170,▼240,－4.44%,4661,5171,681223
2020/01/09,5300,5490,5190,5410,▼480,－8.15%,4660,5135,1524627
2020/01/08,5250,6080,5090,5890,▲540,＋10.09%,4657,5084,8983893
2020/01/07,4955,5450,4955,5350,▲425,＋8.63%,4650,4975,3254513
2020/01/06,5190,5380,4885,4925,▼145,－2.86%,4648,4917,491604
2020/01/03,5130,5150,5040,5070,▼10,－0.20%,4650,4903,240428
2020/01/02,4990,5190,4950,5080,▲120,＋2.42%,4650,4876,448411
2019/12/30,5000,5020,4935,4960,▼20,－0.40%,4650,4855,124590
